Drug	Target
DB09068	HTR7
DB07130	PTPN1
DB00246	HTR3A
DB00328	PPARG
DB07180	NEK2
DB08782	CA2
DB04027	CKM
DB00604	CYP2D6
DB01126	CYP3A5
DB01549	DRD2
DB04743	LTF
DB00197	SERPINE1
DB07186	AURKA
DB00835	CYP2C8
DB00640	ADORA2A
DB04350	CHIT1
DB01261	CYP2C8
DB01622	DRD2
DB06779	VEGFA
DB07922	MMP12
DB00197	ACSL4
DB00317	EGFR
DB00674	CHRNG
DB02482	CDK7
DB00041	IL2RG
DB07835	MAPK14
DB00418	CYP2C9
DB00850	CYP2D6
DB00909	CACNA1H
DB00246	CYP3A4
DB00514	NCF1
DB01144	CA4
DB00898	GLRA1
DB01623	HTR2A
DB01419	PTGS1
DB03444	GSK3B
DB03147	ACAD8
DB06727	CYP2D6
DB01149	ADRA1B
DB03845	DTYMK
DB00468	CYP2C9
DB02726	ENO2
DB08398	NCOA2
DB07217	MAPK10
DB01171	MAOA
DB03297	SOD2
DB01520	GRIN3B
DB03461	CRYZ
DB07198	ESR2
DB07903	METAP1
DB06643	TNFSF11
DB01028	GABRD
DB08896	EPHA2
DB06900	PRSS8
DB00116	MTHFR
DB00661	CYP3A7
DB01065	CYP1A1
DB02486	GSTA1
DB07696	CASP3
DB00287	PTGFR
DB00543	HTR1A
DB01567	GABRB2
DB01087	NQO2
DB00744	CYP1A2
DB00477	ORM2
DB05383	AKR1B1
DB00661	CACNA1I
DB07346	BACE1
DB05216	PDGFRA
DB00861	PTGS2
DB00768	HRH1
DB02016	LSS
DB01351	CHRNA7
DB01053	SLC22A8
DB01185	NR3C1
DB02824	ODC1
DB05472	IFNAR2
DB00333	CYP2C8
DB01353	GABRA6
DB01365	ADRB1
DB01558	CYP2E1
DB02659	COX6B1
DB04716	DAPK3
DB00119	PKLR
DB00818	CYP2A6
DB00829	CYP2C8
DB00661	CACNA1G
DB00201	ATM
DB00115	MMUT
DB00642	SLC29A1
DB00150	WARS2
DB00151	CTH
DB00172	PYCR3
DB01262	DNMT1
DB01594	GABRG3
DB07724	PPARA
DB00622	CYP3A4
DB03841	XDH
DB03247	RPS6KA4
DB08349	MAPK14
DB01761	MAPK14
DB01141	COMT
DB08806	HRH2
DB00231	GABRB1
DB00170	XDH
DB00421	SRD5A1
DB01097	CYP2C9
DB00909	MAOA
DB02035	PPT1
DB03918	NOS3
DB00696	CYP3A4
DB00657	CHRNA2
DB01754	PIM1
DB05066	GDNF
DB00747	CHRM4
DB00713	SLC15A1
DB01452	OPRD1
DB01628	CYP2D6
DB00640	ADORA1
DB04799	UQCR11
DB08301	CA2
DB00087	FCGR1A
DB00306	GABRD
DB07956	CELA1
DB03401	CYTH2
DB04355	GYG1
DB00055	PROCR
DB00231	GABRD
DB00734	HTR1A
DB07252	EPHB4
DB00517	CHRM2
DB00370	ADRA2A
DB00306	GABRA3
DB04077	ISYNA1
DB00543	SLC6A3
DB08617	YARS
DB00189	GABRA3
DB00608	CYP3A4
DB01114	CYP3A7
DB00145	GLYAT
DB07376	F2
DB00402	GABRE
DB00571	CYP1A1
DB00627	NNMT
DB00292	GABRA5
DB00628	GABRG3
DB04894	SSTR2
DB07514	KDR
DB08409	IGHG1
DB00140	MAOA
DB01231	CHRM2
DB00285	CYP3A4
DB02471	PYGM
DB00360	PAH
DB07458	PRKACA
DB05253	PGR
DB06366	ERBB2
DB08183	TYK2
DB00422	SLC6A3
DB00145	SHMT2
DB04055	PYGM
DB00586	UGT2B7
DB01232	CYP3A7
DB00092	FCGR2A
DB08816	CYP3A4
DB00940	HRH2
DB00946	CYP3A4
DB02110	CYCS
DB03501	ABO
DB06204	SLC6A4
DB06853	PRSS1
DB02977	PTPN1
DB01136	CYP2D6
DB00193	SLC6A4
DB06697	CYP3A4
DB00273	GABRG1
DB00139	SLC13A1
DB06228	CYP3A5
DB07340	AURKB
DB00328	GLO1
DB00625	CYP3A4
DB01062	CHRM2
DB00635	CYP3A4
DB00440	CYP3A4
DB00976	CYP3A4
DB01069	CHRM5
DB01424	CYP2C19
DB01159	GABRB3
DB01224	ADRA2B
DB02068	ALAD
DB02935	HSP90B1
DB00545	ACHE
DB00047	CYP1A2
DB00537	CYP1A2
DB00136	CYP24A1
DB07909	IGHG1
DB08820	CFTR
DB00252	CYP2C8
DB00757	HTR3A
DB02098	RNASE3
DB04137	RAP2A
DB01189	GABRE
DB00869	CA1
DB01844	REN
DB01136	KCNH2
DB00123	SLC7A2
DB01403	HTR2C
DB04795	SDHA
DB00145	GLYATL1
DB00918	CYP3A4
DB01023	PDE1B
DB00054	FCGR2C
DB04953	UGT1A4
DB08004	HASPIN
DB01240	P2RY12
DB03828	SRC
DB07357	ABO
DB01972	GUK1
DB06204	CYP2C9
DB00459	RARG
DB00748	CYP2B6
DB00208	CYP1A1
DB01966	PSAP
DB07320	CHEK1
DB00138	SLC3A1
DB00842	GABRB2
DB09078	FGFR3
DB08896	FGFR2
DB01558	GABRA4
DB04326	ALDOB
DB00056	FCGR3A
DB00916	CYP2C8
DB00436	SLC12A3
DB00157	PDHA2
DB05913	KIT
DB00968	ADRA2A
DB00513	PLAT
DB00157	NDUFB6
DB00184	CHRNB3
DB01363	SLC18A2
DB00145	SLC6A5
DB08655	CREBBP
DB00370	CYP2C8
DB07716	IGKC
DB02306	PCTP
DB00201	PDE1B
DB00257	CYP1A2
DB07113	REN
DB01296	MMP9
DB00583	MPO
DB04272	CPB1
DB04920	CYP2C9
DB00546	GABRA2
DB01049	ADRA1B
DB07375	IGHG1
DB00379	CYP2E1
DB03737	CDK2
DB00128	SLC25A13
DB00431	GLRB
DB00594	SCNN1G
DB08214	NOS2
DB00157	HSD11B1
DB00690	GABRG3
DB00030	SYTL4
DB00818	GABRB3
DB01364	SLC6A2
DB00371	GABRA6
DB01392	HTR1B
DB05168	FOLR3
DB02153	PRDX2
DB06103	IMPDH2
DB00404	GABRD
DB00824	PDE4A
DB07757	ESR2
DB00420	CYP2C9
DB04009	CYB5A
DB00342	CYP3A4
DB00921	CYP3A5
DB05883	PTH
DB02152	MET
DB03451	VDR
DB00277	CYP1A1
DB02377	GCH1
DB01254	CYP1B1
DB01067	CYP2C9
DB01198	TSPO
DB02499	ARG1
DB06070	HSP90AB1
DB06779	HPSE
DB02379	LCTL
DB02750	EFL1
DB00721	BCHE
DB00734	ADRA1B
DB01068	GABRA5
DB02546	HDAC8
DB04639	IGHG1
DB08043	ABL1
DB07857	PKIA
DB07374	RPL23A
DB04930	SCN1A
DB01236	GABRQ
DB01587	GABRE
DB04077	ADH1B
DB04327	PROCR
DB00726	CYP2D6
DB01107	GABRG2
DB00157	HSD3B1
DB00537	TOP2A
DB05260	ATP6V1B2
DB00580	UGT1A9
DB00343	CYP2C8
DB00398	FLT1
DB00401	CACNA2D1
DB01273	CHRNA4
DB00401	CACNA1S
DB00589	ADRA2C
DB01041	ORM2
DB07845	MAPK8
DB08896	FLT4
DB04315	RAC1
DB00462	CHRM3
DB00505	CHRM2
DB00712	PTGS1
DB01079	CYP2D6
DB00241	GABRP
DB02740	B2M
DB01244	CACNA1A
DB03633	PLA2G1B
DB00338	CYP1A1
DB04877	ABCB1
DB05492	ADRA2A
DB05155	OPRK1
DB01393	PPARD
DB00454	CHRM3
DB01189	GABRA6
DB08901	CYP2C8
DB00117	HDC
DB09079	SRC
DB00401	CACNA1C
DB04381	ALDH2
DB00171	GRK2
DB07994	BACE1
DB05111	IFNG
DB00141	NAGLU
DB08507	MMP3
DB08400	FAAH
DB04338	MAPK14
DB00200	TCN1
DB08929	BACE1
DB00590	CYP2C19
DB00338	CYP11A1
DB00122	PCYT1A
DB01237	HRH1
DB00882	CYP11A1
DB04465	GLT6D1
DB00071	HLA-DQB1
DB00835	CYP2C9
DB03519	OTC
DB07401	UQCRC1
DB00404	GABRQ
DB00795	IKBKB
DB00675	CYP3A7
DB01361	CYP2C8
DB01028	CYP2E1
DB02101	AKR1B1
DB07264	MAPK1
DB00338	ATP4A
DB00204	KCNH2
DB00402	GABRA1
DB08870	TNFRSF8
DB00898	CACNG2
DB00613	HNMT
DB01764	CYP3A4
DB00656	CYP2D6
DB04491	CFB
DB00578	PLA2G4A
DB00458	CHRM1
DB00612	CYP2D6
DB06701	SLC6A3
DB08399	ATP5F1B
DB08139	CDK2
DB00602	CYP3A4
DB04463	CBR1
DB00128	ASS1
DB00321	OPRM1
DB01762	FAH
DB06944	CCNA2
DB00145	GRIN2C
DB00171	ABCB1
DB00818	UGT1A9
DB01583	THRA
DB01576	SLC6A2
DB03636	MMP8
DB08896	KIT
DB00031	CLEC3B
DB08897	CHRM1
DB00397	MAOA
DB01119	KCNMA1
DB01118	ADRB1
DB07908	PFN1
DB00850	CYP2B6
DB01159	GABRG3
DB00606	CA1
DB03227	NMNAT3
DB00160	SLC1A4
DB00401	CYP3A7
DB03223	EEF2
DB00257	CYP2C9
DB00228	GABRB2
DB00974	PON3
DB00025	PROC
DB07830	DPP4
DB06077	HTR2A
DB02261	GM2A
DB02647	CDK2
DB01559	GABRG2
DB00898	GRIA1
DB04318	MMP11
DB05044	PYGL
DB00899	OPRM1
DB00741	CYP11B2
DB02772	RTCB
DB00289	GRIN1
DB04003	LCK
DB00814	PGD
DB02894	CA2
DB00195	CYP2D6
DB00726	CHRM2
DB05464	NFKB1
DB09202	ADRA2B
DB01988	MAPK14
DB04797	MAPK14
DB01812	RNASE2
DB01170	SLC6A2
DB01142	HTR2A
DB00313	SCN2A
DB01127	CYP3A4
DB04953	KCNQ4
DB00312	GABRG3
DB00720	PTGS2
DB00897	GABRA1
DB00672	CYP2C9
DB00659	GABRB3
DB04724	ITGAL
DB06943	ADAM17
DB06262	DDC
DB01436	CYP27B1
DB00246	CYP1A2
DB01989	TLL2
DB03796	TRAPPC3
DB00238	CYP1A2
DB00540	ADRA1A
DB02558	MME
DB01072	CYP3A4
DB04716	JAK2
DB05050	OPRD1
DB00673	CYP2C19
DB04395	TOP2B
DB00321	CYP2C19
DB00570	TUBE1
DB00091	CYP3A5
DB00650	TYMS
DB07476	CA2
DB03921	TGFBR1
DB09036	IL6
DB01039	MMP25
DB00907	CYP3A7
DB01142	SLC6A2
DB00241	GABRG1
DB00943	CYP3A7
DB01186	DRD4
DB06779	SERPINC1
DB03127	ST14
DB00446	CYP2C8
DB00914	PRKAA1
DB08330	UQCRQ
DB00899	OPRD1
DB00604	CYP2C9
DB00714	HTR1A
DB00673	CYP2C9
DB01520	GRIN2C
DB03186	RNASE1
DB02407	CCNA2
DB04851	ABCG2
DB04946	HRH1
DB00282	FDPS
DB04150	PAM
DB05003	RRM2
DB05412	MAPK14
DB00067	AVPR1B
DB00318	CYP3A5
DB00412	CYP2D6
DB00813	CYP3A4
DB08810	HTR4
DB08231	HNF4A
DB00126	P3H1
DB04805	RPL37
DB00313	CYP2C19
DB00481	ESR1
DB00703	CYP3A4
DB00778	CYP3A4
DB00863	HRH2
DB03379	TPI1
DB04395	ITPKA
DB00704	OPRK1
DB04281	DHODH
DB00203	CYP2C9
DB00122	PCYT1B
DB08049	COMT
DB00241	GABRB3
DB00321	CYP2C8
DB07086	ESR1
DB01282	OXTR
DB00334	DRD2
DB07866	HSD11B1
DB00458	ADRA1D
DB02325	CHIT1
DB00321	HRH2
DB01236	GABRB3
DB00112	C1R
DB07083	F2
DB01028	CYP3A4
DB04889	DRD2
DB01693	IMPDH2
DB01224	ADRA2C
DB00468	GP9
DB00685	TOP2A
DB01864	ARF6
DB04657	SDHA
DB00543	GABRG2
DB04888	DRD2
DB05475	TLR7
DB01558	GABRE
DB03784	PLA2G2A
DB01239	HTR2A
DB08015	MAPK10
DB00327	CYP2C9
DB00436	CA1
DB00661	CACNB3
DB00381	CACNA1C
DB01472	ADRA2A
DB04871	CYP2D6
DB00100	F10
DB01110	NOS3
DB00160	KYNU
DB01087	CYP2D6
DB00669	HTR1F
DB01576	ADRA1A
DB00323	COMT
DB00641	CYP2B6
DB02931	AANAT
DB00892	SCN10A
DB01577	SLC6A3
DB07563	CTSK
DB00197	CYP19A1
DB00696	HTR1A
DB02329	HSD11B1
DB08602	PDE7A
DB05814	FKBP1A
DB06738	GRIN2C
DB00342	CHRM1
DB00482	CYP2D6
DB01244	CACNA1H
DB00015	PLG
DB00613	CYP1A1
DB02681	CKS1B
DB08361	SYK
DB08813	MYC
DB00477	CYP3A4
DB00731	UGT1A9
DB00656	ADRA1A
DB00197	CYP2C19
DB00949	GRIN3A
DB03740	IGHG1
DB04866	MMP2
DB09014	HTR2C
DB00622	ADRA1D
DB07024	CDK2
DB02869	CTSK
DB08412	IGHG1
DB00636	PPARA
DB01601	CYP2C19
DB00268	HTR1A
DB00054	FCGR3B
DB01041	NFKB1
DB01046	CLCN2
DB08093	MAPK14
DB08912	NEK11
DB01049	HTR2A
DB01115	CYP2E1
DB07897	F2
DB01108	HSD3B2
DB00819	CA4
DB01007	CYP1A2
DB02727	NOS1
DB00160	GPT
DB07266	AURKA
DB00201	PDE3B
DB00801	GABRG3
DB03176	THRA
DB00131	CREB1
DB00216	HTR1A
DB00723	ADRA1B
DB07855	PRKACA
DB01270	VEGFA
DB00339	XDH
DB00864	CYP3A5
DB00723	ADRA1D
DB01567	GABRG3
DB04905	CYP3A4
DB03461	NNT
DB08450	TGFBR1
DB04464	MT-CO2
DB00572	CHRM3
DB00213	ATP4A
DB00463	GABRA4
DB00548	AKR1D1
DB00909	CA3
DB00783	CYP3A4
DB02740	HLA-A
DB04142	PTPN1
DB04828	CYP3A4
DB00069	IFNAR2
DB00112	C1QC
DB01076	CYP3A5
DB03754	AMD1
DB05421	TACR1
DB06268	CYP2C9
DB00468	CYP3A7
DB00157	PHGDH
DB00409	HTR2A
DB00321	CYP2D6
DB00268	ADRA2A
DB03443	PRSS1
DB01378	ATP1A1
DB07323	METAP2
DB00799	RARG
DB00142	GMPS
DB01224	CYP3A4
DB00142	NAGS
DB01559	GABRG3
DB00428	CYP2E1
DB01349	AGTR2
DB03496	CDK7
DB01392	HTR1D
DB04754	PNP
DB03783	CYP1A1
DB04855	ADRB1
DB01088	PTGIR
DB08435	PPARG
DB04530	ARG1
DB04926	GRIN3A
DB05241	PIK3CG
DB08804	MAOB
DB00972	CYP1A2
DB00139	P4HA2
DB07821	PLA2G7
DB02091	CDK2
DB00408	ADRA1B
DB07369	MET
DB07942	MAPK14
DB00087	FCGR3B
DB01205	GABRB2
DB07639	F2
DB08468	CSNK2A1
DB03880	MMP8
DB01640	PDE3B
DB00013	ST14
DB05066	IL10
DB01333	CYP3A4
DB00998	HTR1D
DB04404	CHIT1
DB01184	DRD3
DB00313	SCN1B
DB00266	NQO1
DB00157	NDUFA4
DB00381	CYP3A5
DB00184	CHRNA6
DB00273	GABRA2
DB05492	HTR2B
DB01198	PTGS1
DB08040	LTA4H
DB02548	GPI
DB09079	FGFR1
DB01472	MAOB
DB01107	GABRA6
DB06589	FLT1
DB00342	HRH1
DB01207	TBXAS1
DB08035	AR
DB00475	GABRE
DB00376	CHRM4
DB01105	CYP3A4
DB07930	ACOX1
DB05407	EDN1
DB01023	NR3C2
DB03507	TNFRSF1A
DB00526	CYP1B1
DB04638	ATP2A1
DB08273	IGLV7-43
DB00526	CYP1A1
DB00363	ADRA2A
DB01224	ADRA1A
DB00615	CYP1A2
DB01268	PDGFRA
DB00882	CYP2A6
DB00089	FOLH1
DB04977	CYP2E1
DB07574	TUBA1C
DB06209	CYP3A4
DB00502	CYP3A7
DB00139	P3H1
DB01618	CHRM1
DB05036	TERT
DB09076	CHRM5
DB00421	SHBG
DB08864	CYP3A4
DB00580	CYP2C19
DB00497	CYP3A5
DB00731	CYP3A5
DB03087	LCN9
DB04903	GABRA2
DB08283	GBA
DB02366	PRSS1
DB00897	CYP2C9
DB04395	TRPM7
DB01016	ABCA1
DB04574	ESR1
DB04522	REG1A
DB00477	HTR7
DB00622	CACNA1D
DB00162	RDH5
DB08533	CDK2
DB00257	CYP19A1
DB08326	ACSBG1
DB00142	GLS
DB00758	CYP2B6
DB00786	MMP9
DB01244	TNNC1
DB01058	CYP3A43
DB01958	DHFR2
DB04912	HMOX2
DB08228	NQO2
DB01277	INSR
DB00214	PTGS1
DB08738	PREP
DB01001	ADRB1
DB00395	CYP2C19
DB01136	SELE
DB06637	KCNC2
DB01367	CYP1A2
DB00046	CYP1A2
DB00675	CYP2A6
DB00788	CYP2C9
DB01060	CYP2C19
DB01438	SCN1A
DB08051	DPP4
DB01007	CYP2E1
DB00006	MPO
DB00215	ADRA1A
DB04857	DRD2
DB06945	ADAMTS5
DB01548	OPRK1
DB01074	CYP2B6
DB00220	CYP2B6
DB00794	CHRNA4
DB00489	KCNH2
DB07053	PPARG
DB03639	DHPS
DB00652	OPRM1
DB07218	MAPK8IP1
DB07421	AR
DB01252	UGT2B7
DB00619	PDGFRA
DB00852	SLC6A2
DB01041	TNF
DB07664	CAMK4
DB00997	XDH
DB06216	HTR2A
DB00264	ADRB2
DB00996	ADORA1
DB00017	CALCR
DB05786	FUBP1
DB01169	MAPK3
DB06080	KDR
DB00458	CHRM4
DB03251	PRSS1
DB00958	GSTM1
DB08413	ALPP
DB03225	DAO
DB02264	HGF
DB00066	FSHR
DB00182	ADRA1D
DB00463	GABRQ
DB08690	MT-CYB
DB06725	CYP2C9
DB00753	CYP2E1
DB00370	ADRA2C
DB00114	PYGB
DB00110	FCGR3A
DB00110	C1QB
DB06711	ADRA1A
DB06702	CYP3A4
DB01544	CYP2A6
DB05073	SIRT1
DB07895	FNTB
DB01224	HTR7
DB00184	CYP3A4
DB00074	FCGR1A
DB08848	SLC6A1
DB05382	MT-ND5
DB00028	C4B_2
DB08353	CSNK2A1
DB00151	NFS1
DB02994	NOS3
DB04917	HTR4
DB06956	HSP90AA1
DB05109	CYP2D6
DB00768	S100A2
DB03010	TUBB
DB01142	HRH2
DB00224	CYP3A4
DB00795	ACAT1
DB08200	BCHE
DB00141	B4GALT3
DB08357	ACHE
DB01065	MTNR1B
DB06846	HMGCR
DB07873	GGPS1
DB00334	HTR2B
DB08620	CHRFAM7A
DB00261	CYP1A2
DB00092	C1QC
DB01224	DRD1
DB03401	ITPR1
DB02162	HINT1
DB00246	CHRM2
DB00216	HTR7
DB01181	CYP2C9
DB05080	HRH3
DB06841	F2
DB00844	OPRM1
DB07027	F2
DB07778	UQCR10
DB07659	F2
DB05161	ELANE
DB08167	ACHE
DB00887	SLC12A2
DB05829	PTH2R
DB01623	DRD2
DB00744	UGT1A9
DB00298	ADRA1D
DB07778	CYC1
DB03385	CA2
DB04920	CACNA1C
DB00393	CACNA1C
DB00231	TSPO
DB00976	CYP2D6
DB05759	IGF1R
DB00161	BCAT1
DB00897	TSPO
DB01355	CYP2C19
DB07389	NOS2
DB00774	ATP1A1
DB01037	CYP2B6
DB00922	KCNJ11
DB06741	UGT1A3
DB00801	GABRA5
DB02556	CRH
DB00146	CYP27B1
DB00144	DGKD
DB00321	CYP3A4
DB00753	GABRD
DB00818	GABRG2
DB00431	GABRB1
DB00025	F2
DB02597	MME
DB01193	ADRB2
DB03203	PVR
DB05492	ADRA1A
DB01079	HTR4
DB00285	CYP2D6
DB01115	KCNA1
DB01364	ACHE
DB02759	LYZ
DB04105	ADH1B
DB00173	SRPK2
DB05494	DCK
DB00316	CYP1A2
DB00721	SCN10A
DB08056	LCK
DB00667	CYP2C9
DB02047	PTGS1
DB06650	MS4A1
DB00157	XDH
DB01162	ADRA1A
DB01215	CYP3A4
DB04888	HTR1A
DB06637	KCNC3
DB08487	F10
DB00835	CYP2E1
DB02755	M6PR
DB00404	GABRA5
DB05022	TOP2A
DB06094	HSPB1
DB00686	FGF1
DB00075	C1R
DB06977	PRKACA
DB01254	LCK
DB01236	CYP2B6
DB04315	RAP2A
DB08515	PSMB6
DB00176	CYP2E1
DB00726	ADRB3
DB01591	CHRM2
DB00254	PADI4
DB01110	CYP2C9
DB01595	GABRA1
DB00143	HPGDS
DB03461	HMGCR
DB01234	CYP2B6
DB00098	ITGB3
DB01291	ADRB2
DB00454	CHRM5
DB00544	TYMS
DB00521	ADRB2
DB00731	CYP3A7
DB04890	HRH1
DB07065	CDK2
DB00126	EGLN2
DB06879	NOS2
DB02659	COX7B
DB04315	EEF2
DB01106	NTSR2
DB01131	CYP2E1
DB01234	CYP3A43
DB00457	ADRA2A
DB04469	PDE4D
DB00143	GSTT1
DB05745	LTA4H
DB01189	GRIA1
DB07182	CPB1
DB08180	FNTA
DB01388	CACNA1C
DB00121	HLCS
DB00142	GRID1
DB07503	PIK3CG
DB01182	SCN5A
DB00988	SLC6A3
DB00135	TAT
DB07851	DPP4
DB02563	ECHS1
DB05187	PPARD
DB00633	ADRA2A
DB04147	DHODH
DB00114	KYNU
DB08453	UQCRFS1
DB05428	RRM2
DB00740	SLC7A11
DB05471	NFKB2
DB05139	PDGFD
DB01101	CES1
DB01437	GABRG2
DB00988	DRD1
DB00543	SLC6A2
DB05223	HDAC6
DB00651	PDE4A
DB08811	PDE3A
DB00872	CYP3A4
DB08930	UGT1A1
DB01049	GABRA6
DB08932	EDNRA
DB00356	CYP2E1
DB01217	CYP3A4
DB00203	PDE5A
DB05412	IL1B
DB08080	MRTFA
DB01708	GRIN1
DB01238	HTR2C
DB08550	PNMT
DB09079	FLT3
DB02623	CDC42
DB00165	CYP1A1
DB04616	ACHE
DB00748	CYP2C8
DB02379	NCAN
DB00193	CYP3A4
DB00201	PDE4A
DB00051	C1QC
DB00002	C1S
DB00143	GSTO1
DB00186	GABRA1
DB07431	CDK2
DB07637	EPOR
DB08426	F10
DB08780	CHEK1
DB00995	IKBKB
DB01191	CYP2C9
DB00832	CYP2C19
DB00321	HTR1D
DB08885	VEGFA
DB01238	HRH1
DB04464	UBC
DB01088	PDE4D
DB02207	NOS2
DB02210	PLA2G1B
DB01698	CYP2D6
DB08197	HSP90AA1
DB06706	SLC18A2
DB01466	POR
DB00072	FCGR1A
DB00468	CYP3A4
DB00843	CYP2D6
DB00517	CHRM1
DB01826	MB
DB08235	ARPC3
DB01734	PTPN1
DB00218	TOP2A
DB00286	CYP3A4
DB06101	FLT1
DB01183	OPRM1
DB00481	CYP2C8
DB07239	DPP4
DB08538	CDK2
DB00359	CYP2E1
DB04881	ABCB1
DB03147	GCDH
DB04459	CFD
DB00987	CDA
DB05905	HTR4
DB07842	PPARG
DB01184	CYP2D6
DB01587	GABRA1
DB02745	LSM6
DB06709	CHRM3
DB00499	CYP3A4
DB00158	GGH
DB03088	IGLC1
DB00721	KCNN2
DB06216	HTR1B
DB08813	SELP
DB00536	RNASE1
DB02418	UBE2D2
DB00191	SLC6A2
DB00778	ABCB1
DB08814	NFKB1
DB04094	FKBP1A
DB04395	VCP
DB01110	KCNMB3
DB04602	RPL37
DB01129	ATP4A
DB03401	RDX
DB00898	CACNA1C
DB00075	C1QB
DB07592	CTSK
DB00725	CHRM4
DB00897	CYP3A7
DB06720	GBA
DB06865	F2
DB00129	GATM
DB00454	OPRM1
DB01159	KCNK9
DB06196	ANPEP
DB01238	DRD5
DB00674	CHRNB2
DB01223	CYP3A4
DB02709	CYP1A2
DB03428	CDK2
DB05339	HTR1A
DB08930	CYP3A43
DB01579	SLC6A2
DB03661	CTSL
DB08195	CTSS
DB07230	ESR2
DB06204	SLC6A2
DB00969	CYP1A2
DB00143	GLRX2
DB03904	CA2
DB04306	DHFR2
DB03330	GLO1
DB03991	NEU2
DB00514	CYP2C9
DB04905	ABCB1
DB07395	PYGL
DB07401	UQCRFS1
DB07336	CHEK1
DB00659	GABRD
DB02308	PRSS3
DB00795	PTGS2
DB00397	CYP1A2
DB07586	HDAC8
DB00316	NAT2
DB07089	BACE1
DB00925	ADRA2A
DB00589	HTR2B
DB00518	CYP3A4
DB02887	NME1
DB05129	TOP2A
DB01497	OPRK1
DB00508	DRD1
DB00142	GRIK4
DB08173	F10
DB08258	EPHX2
DB08818	HAPLN1
DB00675	CYP2E1
DB00980	CYP3A4
DB01962	HCK
DB05252	NOS2
DB00241	GRIK2
DB03496	CDK8
DB03976	PRSS2
DB07294	RARG
DB03023	SRC
DB03959	HGF
DB01406	CCL2
DB07029	NOS2
DB00540	HRH1
DB00347	CACNA1G
DB01842	RNASE1
DB00074	C1QC
DB05386	BCHE
DB04101	CDK2
DB00300	AK4
DB04444	GNAI1
DB00208	CYP2C19
DB00470	CYP2C9
DB00879	DCK
DB01410	CYP3A4
DB00582	CYP2C19
DB05194	CSF2
DB00147	PDXK
DB00313	UGT1A6
DB00500	PTGS2
DB03633	GM2A
DB01953	MAPK14
DB08386	PDE10A
DB00668	ADRA1B
DB03372	IL2
DB08614	CELA1
DB00284	GAA
DB07115	CA13
DB00139	SDHC
DB06404	SERPING1
DB06694	ADRA2B
DB00186	GABRG2
DB00526	SOD1
DB03349	HINT1
DB04786	RYR1
DB00822	CYP2E1
DB01079	CYP2C9
DB01151	CHRM4
DB06822	CXCL12
DB07364	CDK5
DB07788	MAPK1
DB00129	OAZ2
DB00909	CA7
DB00543	GABRG1
DB01559	GABRA5
DB00981	ACHE
DB00553	CYP2A6
DB07247	F3
DB00938	CYP2C8
DB03740	GBA
DB07108	BCL2L1
DB05864	METAP2
DB00398	PDGFRB
DB09049	CYP2C19
DB00563	ATIC
DB01026	AR
DB00849	CHRNA4
DB01359	HTR1B
DB01412	CYP2E1
DB02587	ADCY2
DB08805	HRH2
DB00056	C1QB
DB04715	PIM1
DB07995	HASPIN
DB01915	ACAT2
DB05744	CRP
DB01054	CACNA1H
DB00157	NDUFA12
DB01201	CYP3A43
DB08632	HBA2
DB01167	CYP2E1
DB06772	CYP2C8
DB00918	MAOA
DB08888	SERPINF2
DB00653	CACNB2
DB01267	DRD1
DB01206	CYP3A4
DB01870	AMY2B
DB03373	PRSS1
DB03435	GYG1
DB00363	CHRM5
DB00100	GGCX
DB01186	HTR1D
DB00048	COL1A2
DB00898	GABRA4
DB07798	PNMT
DB04840	CYP1A1
DB04141	UQCRB
DB00142	GCLM
DB01354	GABRA4
DB00185	FMO1
DB00186	GABRA6
DB07700	AKR1C3
DB08088	AR
DB07353	F2
DB01048	ADH6
DB00773	CYP3A5
DB00157	BLVRB
DB00623	DRD1
DB01036	CYP2C19
DB00530	CYP1A1
DB00543	GABRD
DB05134	HSP90AA1
DB05509	HTR1A
DB01427	PDE4B
DB09078	KIT
DB07950	KYAT1
DB00540	CYP2C9
DB01231	CHRM3
DB01075	PTGS1
DB00116	SHMT1
DB00436	TPMT
DB00934	HRH1
DB00157	MT-ND4
DB02778	FBP1
DB05676	PDE4B
DB00373	CYP2C19
DB01035	DNMT1
DB00834	CYP2D6
DB00117	HAL
DB05773	CYP3A4
DB00266	VKORC1
DB00241	CHRNA7
DB02624	SLC9A1
DB03276	GRB2
DB07307	MAPK14
DB00312	GRIN1
DB00543	CHRM5
DB05235	THRA
DB03084	MAPK10
DB03710	NOS1
DB00002	C1QA
DB00142	KYAT3
DB07450	AKR1B1
DB00622	CHRM3
DB00451	THRB
DB07651	PTPN1
DB03740	ACE
DB07827	MMP13
DB01403	CHRM3
DB00458	DRD5
DB01424	CYP1A2
DB07652	POLK
DB00454	GRIN2A
DB08631	PNMT
DB00332	CHRM1
DB08804	CYP19A1
DB00945	CYP2C8
DB00142	GRIK3
DB00078	C1QC
DB00814	CYP3A4
DB00696	HTR1D
DB00135	YARS
DB05452	AVPR1A
DB00334	CHRM4
DB00448	CYP2D6
DB00571	CYP3A4
DB03783	CYP2C19
DB00477	DRD1
DB00268	ADRA2B
DB06738	CYP2B6
DB00568	DRD2
DB00402	PTGS1
DB00176	CYP2D6
DB05134	HSP90AB1
DB00572	CHRM1
DB00818	GABRG3
DB00598	ADRA1B
DB03754	DCN
DB03632	CHIT1
DB04856	CYP3A4
DB00163	SOD1
